x,N2249,x,N2249,x,N2249,x,N2249,x,N2249,x,N2249
0.83163,0.0566213,0.873128,0.0592421,0.84911,0.0578172,0.932338,0.347742,0.933049,0.347894,0.948858,0.352243
0.83663,0.0569387,0.878128,0.0595562,0.85411,0.0581343,0.937338,0.34907,0.938049,0.349214,0.953858,0.353594
0.84163,0.0572562,0.883128,0.0598692,0.85911,0.0584508,0.942338,0.350397,0.943049,0.350534,0.958858,0.354946
0.84663,0.0575728,0.888128,0.0601812,0.86411,0.0587682,0.947338,0.351725,0.948049,0.351854,0.963858,0.356298
0.85163,0.0578893,0.893128,0.0604945,0.86911,0.0590831,0.952338,0.353054,0.953049,0.353174,0.968858,0.357651
0.85663,0.0582058,0.898128,0.0608085,0.87411,0.0593987,0.957338,0.354383,0.958049,0.354495,0.973858,0.359005
0.86163,0.0585218,0.903128,0.0611116,0.87911,0.0597141,0.962338,0.355713,0.963049,0.355815,0.978858,0.360359
0.86663,0.0588372,0.908128,0.0614232,0.88411,0.060029,0.967338,0.357043,0.968049,0.357137,0.983858,0.361714
0.87163,0.0591524,0.913128,0.0617342,0.88911,0.0603433,0.972338,0.358373,0.973049,0.358458,0.988858,0.363071
0.87663,0.0594674,0.913962,0.0619341,0.89411,0.0606573,0.977338,0.359704,0.978049,0.359782,0.993858,0.364427
0.88163,0.0597817,0.918962,0.0621874,0.89911,0.0609713,0.982338,0.361035,0.983049,0.361105,0.998858,0.365784
0.88663,0.0600959,0.923962,0.0624726,0.90411,0.0612846,0.987338,0.362367,0.988049,0.362431,1.00386,0.374494
0.89163,0.0604096,0.924795,0.0626629,0.90911,0.0615977,0.992338,0.363699,0.993049,0.363748,1.00983,0.387904
0.89663,0.0607229,0.929795,0.062903,0.91411,0.0619103,0.997338,0.365033,0.998049,0.365072,1.0166,0.40323
0.90163,0.0610361,0.931462,0.0631039,0.91911,0.0622226,1.00234,0.3712,1.00305,0.3727,1.02353,0.417287
0.90663,0.0613485,0.936462,0.0633385,0.92411,0.0625341,1.00734,0.382124,1.00805,0.384828,1.03107,0.426696
0.91163,0.0616608,0.941462,0.0636022,0.92911,0.0628457,1.01331,0.395557,1.01332,0.396385,1.0391,0.436553
0.91663,0.0619723,0.946462,0.063877,0.93411,0.0631576,1.02008,0.410582,1.01951,0.409392,1.04752,0.446762
0.92163,0.0622837,0.951462,0.0641566,0.93911,0.063468,1.02747,0.421583,1.02647,0.419894,1.05626,0.457242
0.92663,0.0625954,0.956462,0.0644454,0.94411,0.063778,1.03537,0.431342,1.03403,0.429186,1.06514,0.468336
0.93163,0.0629064,0.961462,0.0647365,0.94911,0.0640886,1.04369,0.44146,1.04208,0.438942,1.07425,0.480016
0.93663,0.0632162,0.966462,0.0650313,0.95411,0.0643981,1.05235,0.451858,1.05052,0.449057,1.08353,0.492167
0.94163,0.0635265,0.971462,0.0653279,0.95911,0.0647076,1.06128,0.462801,1.05928,0.45966,1.09296,0.50473
0.94663,0.0638376,0.976462,0.0656277,0.96411,0.0650168,1.07033,0.474242,1.06818,0.470818,1.10218,0.51722
0.95163,0.0641469,0.981462,0.065927,0.96911,0.0653262,1.07957,0.486179,1.07729,0.482518,1.11155,0.527028
0.95663,0.0644575,0.986462,0.0662293,0.97411,0.0656347,1.08896,0.498532,1.08658,0.494675,1.12106,0.532523
0.96163,0.0647659,0.991462,0.0665222,0.97911,0.0659428,1.09847,0.511283,1.09602,0.507246,1.13066,0.538229
0.96663,0.0650741,0.996462,0.0668202,0.98411,0.0662498,1.10804,0.52412,1.10552,0.520103,1.14034,0.54413
0.97163,0.0653824,1.00146,0.0671573,0.98911,0.0665571,1.1177,0.529549,1.11512,0.527327,1.15008,0.550221
0.97663,0.06569,1.00673,0.0680993,0.99411,0.0668634,1.12742,0.53525,1.1248,0.532975,1.15988,0.556503
0.98163,0.065997,1.01226,0.0693209,0.99911,0.0671706,1.1372,0.541121,1.13454,0.538782,1.16971,0.563
0.98663,0.0663044,1.01831,0.0708005,1.00411,0.0677628,1.14702,0.547172,1.14433,0.544769,1.17958,0.569594
0.99163,0.0666115,1.02483,0.0723603,1.00938,0.0688364,1.15688,0.5534,1.15417,0.550936,1.18948,0.576208
0.99663,0.0669178,1.03176,0.0738993,1.01521,0.0701961,1.16677,0.559845,1.16404,0.55731,1.1994,0.582808
1.00163,0.0672426,1.03869,0.0755056,1.02153,0.0718022,1.17668,0.566408,1.17393,0.563842,1.20933,0.589055
1.00663,0.0681502,1.04563,0.0771826,1.02765,0.0732655,1.1866,0.573003,1.18385,0.570421,1.21927,0.595158
1.0119,0.0693314,1.05292,0.0789828,1.03422,0.0747891,1.19654,0.579595,1.19378,0.57701,1.22923,0.600939
1.01773,0.070764,1.06053,0.0809427,1.0408,0.0763716,1.2065,0.586031,1.20372,0.583537,1.2392,0.606331
1.02405,0.0723119,1.06861,0.0830878,1.04756,0.0780412,1.21646,0.592161,1.21368,0.589658,1.24917,0.611034
1.03081,0.0738202,1.07706,0.0854641,1.0547,0.0798461,1.22643,0.598092,1.22365,0.595699,1.25871,0.61482
1.03756,0.075392,1.08583,0.0880679,1.06218,0.0818164,1.23641,0.603651,1.23362,0.601402,1.26834,0.617632
1.04432,0.07703,1.09484,0.0909005,1.07015,0.0839807,1.24639,0.60871,1.2436,0.606669,1.27804,0.619066
1.05145,0.078787,1.10405,0.0939751,1.07853,0.0863838,1.25637,0.612868,1.25358,0.611065,1.28781,0.61913
1.05893,0.0807014,1.11341,0.0971183,1.08723,0.0890054,1.26636,0.616125,1.26356,0.61466,1.29762,0.617899
1.0669,0.0827972,1.12291,0.100399,1.09619,0.0918638,1.27634,0.61807,1.27355,0.617119,1.30747,0.615516
1.07527,0.0851192,1.1325,0.104025,1.10536,0.0949796,1.28634,0.61856,1.28354,0.618088,1.31735,0.612555
1.08396,0.0876786,1.14218,0.108111,1.1147,0.09813,1.29633,0.617698,1.29353,0.617708,1.32723,0.609089
1.09291,0.090459,1.15192,0.112791,1.12417,0.101469,1.30632,0.615601,1.30352,0.615972,1.33714,0.606285
1.10207,0.0934757,1.16171,0.117921,1.13374,0.105177,1.31632,0.612903,1.31352,0.613609,1.34706,0.603065
1.1114,0.0966376,1.17154,0.123686,1.1434,0.109349,1.32631,0.60947,1.32351,0.610165,1.357,0.600232
