x,N145,N1207,N2125,x,N145,N1207,N2125,x,N145,N1207,N2125
0.757923,-0.064176,-0.09368,-0.107107,0.747342,-0.0625819,-0.0928429,-0.105786,0.745142,-0.093273,-0.10011,-0.108731
0.762923,-0.0646307,-0.0942376,-0.107764,0.751508,-0.0629617,-0.0933212,-0.106341,0.750163,-0.0939904,-0.100823,-0.109428
0.767923,-0.0650856,-0.0947953,-0.10842,0.756508,-0.063412,-0.0938794,-0.107003,0.755179,-0.0947079,-0.101535,-0.110125
0.772923,-0.0655405,-0.0953513,-0.109074,0.761508,-0.0638528,-0.0944204,-0.107642,0.760193,-0.0954258,-0.102248,-0.110821
0.777923,-0.0659954,-0.0959073,-0.109729,0.765675,-0.064234,-0.0949017,-0.108194,0.765203,-0.0961436,-0.10296,-0.111515
0.782923,-0.06645,-0.0964614,-0.110389,0.770675,-0.0646847,-0.0954604,-0.108863,0.770209,-0.096862,-0.103672,-0.112212
0.787923,-0.0669043,-0.0970144,-0.111038,0.775675,-0.0651255,-0.0959984,-0.109495,0.775214,-0.0975807,-0.104385,-0.112906
0.792923,-0.0673591,-0.0975683,-0.111691,0.780675,-0.0655683,-0.0965396,-0.110127,0.780218,-0.0983003,-0.105098,-0.113604
0.797923,-0.0678133,-0.09812,-0.11234,0.785675,-0.0660123,-0.0970846,-0.110774,0.785219,-0.0990193,-0.10581,-0.114298
0.802923,-0.0682683,-0.0986725,-0.11299,0.790675,-0.0664567,-0.09763,-0.111421,0.79022,-0.0997393,-0.106522,-0.114993
0.807923,-0.0687225,-0.0992228,-0.113637,0.795675,-0.0669023,-0.0981779,-0.112064,0.795221,-0.100459,-0.107234,-0.115685
0.812923,-0.0691769,-0.0997735,-0.114285,0.800675,-0.0673476,-0.0987237,-0.112704,0.800221,-0.101179,-0.107947,-0.116381
0.817923,-0.0696312,-0.100323,-0.114931,0.805675,-0.067794,-0.0992711,-0.113343,0.805222,-0.1019,-0.108658,-0.117082
0.822923,-0.0700856,-0.100872,-0.115579,0.810675,-0.0682407,-0.0998187,-0.113985,0.810222,-0.102621,-0.109371,-0.117774
0.827923,-0.0705403,-0.101421,-0.116224,0.815675,-0.0686879,-0.100367,-0.114627,0.815222,-0.103342,-0.110082,-0.11847
0.832923,-0.0709949,-0.10197,-0.116869,0.820675,-0.0691353,-0.100914,-0.115267,0.820222,-0.104063,-0.110794,-0.119159
0.837923,-0.0714491,-0.102516,-0.117513,0.825675,-0.0695828,-0.101461,-0.115907,0.825222,-0.104785,-0.111507,-0.11985
0.842923,-0.0719035,-0.103063,-0.118155,0.830675,-0.0700304,-0.102008,-0.116546,0.830222,-0.105507,-0.112221,-0.120542
0.847923,-0.0723576,-0.103609,-0.118798,0.835675,-0.0704778,-0.102554,-0.117184,0.835222,-0.10623,-0.112935,-0.121232
0.852923,-0.0728084,-0.104146,-0.119425,0.840675,-0.0709255,-0.103099,-0.117824,0.840222,-0.106953,-0.113648,-0.121921
0.857923,-0.0732621,-0.10469,-0.120066,0.845675,-0.0713733,-0.103645,-0.118463,0.845222,-0.107676,-0.11436,-0.122621
0.862923,-0.0737162,-0.105234,-0.120707,0.850675,-0.0718209,-0.104189,-0.119099,0.850222,-0.108401,-0.115078,-0.12332
0.867923,-0.0741699,-0.105776,-0.121344,0.855675,-0.0722681,-0.104731,-0.119736,0.855222,-0.109126,-0.115793,-0.124011
0.872923,-0.074624,-0.106319,-0.121984,0.860675,-0.0727161,-0.105274,-0.120373,0.860222,-0.109851,-0.116508,-0.124706
0.877923,-0.0750779,-0.106861,-0.12262,0.865675,-0.0731642,-0.105818,-0.121009,0.865222,-0.110576,-0.117222,-0.12539
0.882923,-0.0755319,-0.107403,-0.123259,0.870675,-0.0736118,-0.106359,-0.121643,0.870222,-0.111303,-0.117941,-0.12609
0.887923,-0.0759856,-0.107943,-0.123894,0.875675,-0.0740594,-0.106901,-0.122279,0.875222,-0.112028,-0.118655,-0.126777
0.892923,-0.0764394,-0.108483,-0.12453,0.880675,-0.0745071,-0.107441,-0.122912,0.880222,-0.112705,-0.119269,-0.127254
0.897923,-0.0768932,-0.109023,-0.125165,0.885675,-0.0749545,-0.107981,-0.123544,0.885222,-0.113484,-0.120117,-0.128233
0.902923,-0.0773467,-0.109561,-0.125799,0.890675,-0.0754022,-0.10852,-0.124177,0.890222,-0.114214,-0.120831,-0.128919
0.907923,-0.0778002,-0.110099,-0.126432,0.895675,-0.0758499,-0.10906,-0.124812,0.895222,-0.114944,-0.121546,-0.129609
0.912923,-0.0782535,-0.110636,-0.127064,0.900675,-0.0762978,-0.1096,-0.125449,0.900222,-0.115673,-0.122262,-0.130298
0.917923,-0.0787068,-0.111173,-0.127696,0.905675,-0.076745,-0.110137,-0.12608,0.905222,-0.116403,-0.122978,-0.130989
0.922923,-0.07916,-0.111709,-0.128328,0.910675,-0.0771957,-0.110679,-0.126714,0.910222,-0.117132,-0.123694,-0.131678
0.927923,-0.0796132,-0.112244,-0.128959,0.915675,-0.0776442,-0.111226,-0.127358,0.915222,-0.117862,-0.12441,-1.32E-01
0.932923,-0.0800662,-0.112779,-0.129588,0.920675,-0.0780912,-0.111761,-0.12799,0.920222,-0.118592,-0.125126,-0.133057
0.937923,-0.0805187,-0.113312,-0.130215,0.925675,-0.0785377,-0.112296,-0.128616,0.925222,-0.119322,-0.125843,-0.133747
0.942923,-0.0809718,-0.113845,-0.130844,0.930675,-0.0789846,-0.11283,-0.129243,0.930222,-0.120052,-0.126559,-0.134434
0.947923,-0.0814238,-0.114375,-0.131469,0.935675,-0.0794313,-0.113363,-0.129869,0.935222,-0.120782,-0.127277,-0.135124
0.952923,-0.0818775,-0.11491,-0.1321,0.940675,-0.0798779,-0.113896,-0.130495,0.940222,-0.121513,-0.127995,-0.135814
0.957923,-0.0823301,-0.115442,-0.132725,0.945675,-0.0803249,-0.114429,-0.131123,0.945222,-0.122245,-0.128713,-0.136504
0.962923,-0.0827823,-0.115972,-0.133349,0.950675,-0.0807718,-0.114962,-0.13175,0.950222,-0.122976,-0.129432,-0.137194
0.967923,-0.0832347,-0.116502,-0.133975,0.955675,-0.0812184,-0.115492,-0.132376,0.955222,-0.123708,-0.13015,-0.137883
0.972923,-0.0836867,-0.117031,-0.134597,0.960675,-0.0816642,-0.116021,-0.132992,0.960222,-0.124439,-0.130868,-0.138571
0.977923,-0.0841382,-0.117558,-0.135214,0.965675,-0.0821108,-0.116551,-0.133615,0.965222,-0.125172,-0.131588,-0.139261
0.982923,-0.0845905,-0.118087,-0.135842,0.970675,-0.0825569,-0.11708,-0.134234,0.970222,-0.125904,-0.132307,-0.139951
0.987923,-0.0850424,-0.118615,-0.136464,0.975675,-0.0830027,-0.117607,-0.134854,0.975222,-0.126637,-0.133026,-0.14064
0.992089,-0.0854318,-0.119087,-0.137023,0.980675,-0.0834485,-0.118135,-0.135474,0.980222,-0.12737,-0.133745,-0.14133
0.996256,-0.0858258,-0.119558,-0.137574,0.985675,-0.0838938,-0.118661,-0.13609,0.985222,-0.128102,-0.134463,-0.142017
1.00126,-0.086524,-0.120716,-0.139091,0.990675,-0.0843403,-0.119189,-0.136714,0.990222,-0.128836,-0.135183,-0.142707
1.00626,-0.0876906,-0.122814,-0.141561,0.995675,-0.0847858,-0.119714,-0.137331,0.995222,-0.129568,-0.135901,-0.143395
1.01153,-0.0890582,-0.12529,-0.144316,1.00067,-0.085372,-0.120612,-0.138504,1.00022,-0.130366,-0.136756,-0.144275
1.01736,-0.0906949,-0.128251,-0.147565,1.00595,-0.0865738,-0.122798,-0.141149,1.00522,-0.131879,-0.139053,-0.14685
1.02368,-0.0924804,-0.131415,-0.151007,1.01122,-0.0879313,-0.125275,-0.143918,1.01022,-0.133619,-0.141638,-0.149594
1.03043,-0.0942375,-0.134367,-0.154203,1.01704,-0.0895538,-0.128234,-0.147166,1.01549,-0.135632,-0.144575,-0.152714
1.03757,-0.0961304,-0.137437,-0.15752,1.02337,-0.0913403,-0.131433,-0.150644,1.02102,-0.137906,-0.147812,-0.156163
1.04471,-0.0981299,-0.140593,-0.160931,1.03012,-0.0930836,-0.134394,-0.153841,1.02707,-0.140183,-0.150759,-0.159323
1.05166,-0.100229,-0.143816,-0.164384,1.03726,-0.0949605,-0.137469,-0.157157,1.03359,-0.142615,-0.15374,-0.162517
1.05897,-0.102524,-0.147221,-0.167996,1.0444,-0.0969417,-0.140628,-0.160571,1.04011,-0.145144,-0.156772,-0.16577
1.0666,-0.10505,-0.150852,-0.171812,1.05135,-0.0990206,-0.143852,-0.164025,1.0465,-0.147762,-0.159855,-0.169047
1.0747,-0.10786,-0.154757,-0.175844,1.05866,-0.101293,-0.147256,-0.16764,1.05331,-0.150613,-0.163102,-0.172504
