x,healthy,x,earlyOA,x,advOA
2.06323,5.42748,2.04577,5.27151,2.01156,5.04067
2.07268,5.4986,2.05558,5.35936,2.02144,5.13475
2.08215,5.56486,2.06541,5.4396,2.03135,5.22252
2.09166,5.62706,2.07525,5.51076,2.04127,5.30377
2.10119,5.68561,2.08511,5.57712,2.0512,5.38009
2.11078,5.74119,2.09498,5.63963,2.06114,5.45024
2.12039,5.79394,2.10486,5.69845,2.07109,5.51259
2.13004,5.84446,2.11475,5.75439,2.08105,5.56989
2.1397,5.89276,2.12465,5.80747,2.09101,5.62464
2.1494,5.93969,2.13456,5.85838,2.10097,5.67602
2.15909,5.98539,2.14447,5.90706,2.11094,5.72555
2.16883,6.02997,2.1544,5.9548,2.12092,5.77234
2.17859,6.07358,2.16433,6.00105,2.13089,5.81782
2.18838,6.11646,2.17428,6.04626,2.14087,5.86105
2.1982,6.15859,2.18423,6.09043,2.15086,5.90372
2.20804,6.20026,2.19419,6.13387,2.16084,5.94519
2.21789,6.24139,2.20415,6.17655,2.17083,5.9858
2.22777,6.28223,2.21412,6.21874,2.18082,6.02554
2.23766,6.32062,2.22409,6.26038,2.19081,6.06468
2.24756,6.35278,2.23406,6.30171,2.2008,6.10315
2.25748,6.38431,2.24404,6.33539,2.21079,6.1412
2.26741,6.41542,2.25402,6.36763,2.22079,6.17875
2.27735,6.4461,2.264,6.39939,2.23078,6.21603
2.28729,6.47642,2.27399,6.43059,2.24078,6.24832
2.29725,6.50654,2.28397,6.46147,2.25078,6.27671
2.3072,6.53636,2.29396,6.49197,2.26078,6.30428
2.31717,6.56603,2.30395,6.52219,2.27077,6.3318
2.32713,6.59538,2.31394,6.55223,2.28077,6.35859
2.3371,6.62496,2.32394,6.58191,2.29077,6.38514
2.34707,6.65404,2.33393,6.61178,2.30077,6.41122
2.35705,6.68315,2.34392,6.64114,2.31077,6.43711
2.36703,6.71117,2.35392,6.67066,2.32077,6.46264
2.377,6.73871,2.36391,6.69914,2.33076,6.48799
2.38699,6.76537,2.37391,6.72708,2.34076,6.51244
2.39697,6.79212,2.3839,6.75411,2.35076,6.53616
2.40695,6.8177,2.3939,6.78119,2.36076,6.55909
2.41694,6.84334,2.40389,6.80707,2.37076,6.58141
2.42692,6.86853,2.41389,6.83299,2.38076,6.60296
2.43691,6.89343,2.42389,6.85844,2.39076,6.62424
2.4469,6.91754,2.43388,6.88362,2.40076,6.64456
2.45688,6.94057,2.44388,6.9081,2.41076,6.66533
2.46687,6.96198,2.45388,6.9317,2.42076,6.68506
2.47686,6.98167,2.46388,6.95373,2.43076,6.7051
2.48685,6.99265,2.47387,6.97403,2.44076,6.72381
2.49684,6.99963,2.48387,6.98841,2.45076,6.74269
2.50683,7.00378,2.49387,6.99591,2.46076,6.75912
2.51682,7.00678,2.50387,7.0015,2.47076,6.77539
2.52682,7.00889,2.51363,7.00398,2.48076,6.78751
2.53681,7.01049,2.52341,7.00767,2.49076,6.79197
2.5468,7.01643,2.5332,7.00966,2.50076,6.79305
2.55679,7.0209,2.54299,7.01425,2.51076,6.79247
2.56678,7.02557,2.55279,7.01704,2.52076,6.78959
2.57677,7.0292,2.56259,7.02233,2.53076,6.78248
2.58676,7.03354,2.5724,7.02483,2.54076,6.7813
2.59675,7.0374,2.58223,7.02952,2.55076,6.77676
2.60675,7.04161,2.59206,7.0322,2.56076,6.77689
2.61674,7.04387,2.6019,7.03685,2.57076,6.77343
2.62673,7.04566,2.61175,7.03872,2.58076,6.7745
2.63673,7.04509,2.62161,7.04119,2.59076,6.77105
2.64672,7.04041,2.63146,7.04054,2.60076,6.77272
2.65671,7.0361,2.64133,7.03748,2.61076,6.76893
2.66671,7.02905,2.6512,7.0314,2.62076,6.76968
2.67627,7.02484,2.66108,7.02776,2.63076,6.76488
2.68585,7.01685,2.67096,7.02203,2.64076,6.76554
2.69545,7.00972,2.68085,7.01845,2.65076,6.76001
2.70508,7.00086,2.69073,7.00992,2.66076,6.76053
2.71471,6.99384,2.70062,7.00334,2.67076,6.75359
2.72435,6.98494,2.71052,6.99532,2.68076,6.75123
2.734,6.9762,2.72041,6.98896,2.69076,6.74022
2.74367,6.96127,2.73031,6.98045,2.70076,6.73432
2.75335,6.94504,2.74022,6.96909,2.71076,6.71894
2.76305,6.92213,2.75013,6.95302,2.72076,6.70335
2.77277,6.89512,2.76003,6.93414,2.73076,6.67922
2.7825,6.85803,2.76995,6.90771,2.74076,6.66
2.79224,6.81474,2.77987,6.8753,2.75076,6.63031
2.80198,6.75877,2.78979,6.83353,2.76076,6.60269
2.81173,6.68976,2.79972,6.78304,2.77076,6.5645
2.82149,6.62679,2.80964,6.71565,2.78076,6.52383
2.83125,6.57434,2.81957,6.64305,2.79076,6.47133
2.84104,6.53303,2.8295,6.58904,2.80076,6.4135
2.85084,6.49782,2.83945,6.54611,2.81076,6.33157
2.86068,6.47044,2.8494,6.50942,2.82052,6.26235
2.87054,6.44797,2.85935,6.48087,2.83034,6.20388
2.88041,6.43099,2.86932,6.45723,2.84016,6.15665
2.8903,6.4188,2.87928,6.43923,2.85002,6.11761
2.90019,6.40962,2.88925,6.42598,2.85988,6.08517
2.9101,6.40392,2.89923,6.4166,2.86977,6.06027
2.92002,6.4012,2.9092,6.40963,2.87968,6.04115
2.92994,6.40152,2.91918,6.40583,2.88959,6.02496
2.93986,6.40276,2.92916,6.40531,2.89953,6.0129
2.94979,6.40616,2.93914,6.40587,2.90946,6.00395
2.95972,6.40965,2.94912,6.40874,2.91941,5.99734
2.96965,6.41493,2.9591,6.41177,2.92935,5.9934
2.97959,6.41915,2.96885,6.41726,2.9393,5.9929
2.98953,6.42558,2.97861,6.42112,2.94925,5.99391
2.99947,6.43109,2.98839,6.42758,2.9592,5.99751
3.00941,6.43914,2.99818,6.43302,2.96915,6.0017
3.01936,6.44583,3.00798,6.44068,2.9791,6.00751
3.02931,6.45559,3.01779,6.44708,2.98906,6.01369
3.03926,6.46228,3.0276,6.45672,2.99901,6.02178
3.0492,6.47243,3.03742,6.46355,3.00897,6.02963
3.05915,6.47902,3.04724,6.47336,3.01893,6.03944
3.0691,6.48942,3.05706,6.47965,3.0289,6.04807
3.07905,6.49538,3.06689,6.4898,3.03886,6.05902
3.08877,6.50469,3.07673,6.49551,3.04883,6.06695
3.0985,6.50808,3.08633,6.50511,3.0588,6.07778
3.10822,6.5156,3.09594,6.50843,3.06877,6.08514
3.11772,6.51719,3.10554,6.51584,3.07874,6.09557
3.12722,6.52286,3.11515,6.51748,3.08872,6.10053
3.13672,6.52198,3.12454,6.5233,3.09869,6.1077
3.14622,6.52549,3.13393,6.52273,3.10866,6.10989
3.15551,6.52253,3.14332,6.52577,3.11864,6.11535
3.1646,6.52302,3.15271,6.52307,3.12861,6.1153
3.1735,6.51842,3.16211,6.52325,3.13859,6.11792
3.18222,6.51717,3.1715,6.51877,3.14833,6.11522
3.19062,6.51135,3.18089,6.51689,3.15766,6.11459
3.19886,6.50843,3.19028,6.51079,3.16679,6.10987
3.20709,6.50188,3.19947,6.50738,3.17573,6.10693
3.21533,6.49767,3.20846,6.50029,3.18467,6.10035
3.22357,6.49027,3.21727,6.4958,3.1936,6.09531
3.23165,6.48504,3.2259,6.48806,3.2026,6.08695
3.23985,6.47713,3.23436,6.48268,3.21159,6.08011
3.24804,6.47098,3.24282,6.47452,3.22064,6.07043
3.25632,6.46254,3.25128,6.46832,3.22969,6.06213
3.26461,6.4557,3.25974,6.45972,3.23879,6.0515
3.27299,6.44682,3.2682,6.45287,3.24789,6.04206
3.28122,6.43919,3.27674,6.44382,3.25704,6.0305
3.28965,6.42953,3.28529,6.43599,3.26619,6.0202
3.29778,6.42117,3.29391,6.42629,3.27544,6.00788
3.30614,6.41125,3.30253,6.41781,3.28469,5.9968
3.31449,6.40164,3.31123,6.4073,3.29402,5.98405
3.32304,6.39128,3.31992,6.39758,3.30336,5.97227
3.33159,6.38055,3.32869,6.38681,3.31278,5.95894
3.34031,6.36873,3.33746,6.37584,3.32219,5.94672
3.3491,6.35591,3.34637,6.36371,3.33168,5.93316
3.35812,6.34129,3.35494,6.35054,3.34116,5.92025
3.36726,6.32709,3.36369,6.33608,3.35075,5.90579
3.37657,6.31488,3.37257,6.32293,3.36036,5.89205
3.38596,6.30351,3.38168,6.3115,3.37004,5.87776
3.39547,6.29187,3.39089,6.30035,3.37973,5.86628
3.40508,6.28018,3.40026,6.28873,3.38947,5.85426
3.41476,6.26888,3.40975,6.27724,3.39923,5.84188
3.4245,6.25797,3.41934,6.26613,3.40904,5.82964
3.4343,6.24743,3.42901,6.2554,3.41888,5.81673
3.44413,6.23722,3.43874,6.24502,3.42875,5.80277
3.454,6.22732,3.44852,6.23498,3.43863,5.78778
3.46389,6.21637,3.45835,6.22495,3.44852,5.77192
3.4738,6.20574,3.46821,6.21413,3.45843,5.75463
3.48373,6.19401,3.4781,6.2032,3.46834,5.7373
3.49368,6.18233,3.48801,6.19155,3.47827,5.7208
