x,F893,x,F893,x,F893,x,F893,x,F893
1.54463,0.731352,1.52675,0.714802,1.51925,0.731641,1.93397,0.675558,1.9541,0.665943
1.55463,0.734858,1.53675,0.728853,1.52925,0.736765,1.93898,0.672506,1.9591,0.663449
1.56463,0.740048,1.54675,0.731619,1.53925,0.752873,1.94398,0.669656,1.9641,0.661151
1.57419,0.747199,1.55675,0.735406,1.54925,0.757841,1.94898,0.66707,1.9691,0.648188
1.58378,0.753741,1.56675,0.741011,1.55925,0.763722,1.95398,0.664529,1.9741,0.646229
1.59337,0.760327,1.57631,0.748603,1.56758,0.770139,1.95898,0.662206,1.9791,0.64435
1.60295,0.767017,1.58567,0.754511,1.57591,0.776669,1.96398,0.649333,1.9841,0.630013
1.61256,0.77125,1.59502,0.760967,1.58409,0.781277,1.96899,0.647299,1.9891,0.628491
1.62219,0.779306,1.60437,0.766838,1.59237,0.785807,1.97399,0.645464,1.9941,0.614711
1.63184,0.78378,1.61376,0.771756,1.60074,0.790828,1.97899,0.643722,1.9991,0.613412
1.64151,0.785724,1.62318,0.78009,1.60919,0.796331,1.98399,0.629545,2.0041,0.612085
1.65118,0.789226,1.63263,0.784254,1.61774,0.799869,1.98899,0.628096,2.0091,0.597242
1.66087,0.792529,1.64208,0.786185,1.62628,0.804551,1.99399,0.614545,2.0141,0.582664
1.67056,0.795162,1.65153,0.790004,1.63482,0.810507,1.99899,0.613269,2.01969,0.566115
1.68026,0.799976,1.66098,0.791534,1.64336,0.815376,2.00399,0.598052,2.02521,0.566398
1.68998,0.803525,1.6705,0.796147,1.65198,0.817734,2.00899,0.597275,2.03068,0.566891
1.69972,0.802404,1.68002,0.800203,1.6606,0.821034,2.01426,0.582833,2.03611,0.567516
1.70947,0.802614,1.68963,0.803369,1.66922,0.820938,2.01979,0.566428,2.04151,0.568287
1.71923,0.799291,1.69926,0.802116,1.67784,0.82136,2.02529,0.566734,2.04687,0.569225
1.72899,0.796685,1.70896,0.80223,1.68646,0.823809,2.03075,0.56724,2.0522,0.570325
1.7388,0.794869,1.71867,0.798848,1.69516,0.819848,2.03616,0.567877,2.0575,0.571575
1.74862,0.790469,1.72843,0.796399,1.70385,0.817582,2.04156,0.568667,2.06277,0.572962
1.75846,0.789707,1.7382,0.792877,1.7128,0.815386,2.04693,0.569631,2.06803,0.574579
1.7683,0.781378,1.74802,0.790387,1.72175,0.812267,2.05226,0.57075,2.07327,0.589949
1.77816,0.765969,1.75785,0.78919,1.73083,0.808867,2.05756,0.572012,2.07851,0.590923
1.78803,0.750227,1.7677,0.780842,1.73995,0.805211,2.06284,0.573406,2.08372,0.591784
1.79791,0.737754,1.77755,0.765212,1.74918,0.799713,2.06812,0.589563,2.08892,0.592688
1.80781,0.72892,1.78743,0.74686,1.7585,0.787992,2.07339,0.590364,2.09411,0.607044
1.81772,0.719334,1.79732,0.736762,1.76789,0.777862,2.07865,0.591171,2.09929,0.608017
1.82764,0.706118,1.80723,0.727778,1.77733,0.761683,2.08388,0.592015,2.10445,0.621632
1.83757,0.69278,1.81715,0.718071,1.78682,0.748115,2.08909,0.606339,2.1096,0.622724
1.84751,0.676959,1.82708,0.704776,1.79638,0.739294,2.09429,0.619908,2.11474,0.635504
1.85745,0.661632,1.83702,0.691496,1.80599,0.729779,2.09947,0.620896,2.11987,0.648263
1.8674,0.650495,1.84696,0.672264,1.81565,0.716804,2.10463,0.633634,2.12498,0.649498
1.87735,0.635924,1.85691,0.660506,1.82534,0.701494,2.10979,0.634669,2.13009,0.66141
1.8873,0.62588,1.86687,0.649433,1.83508,0.689917,2.11495,0.635752,2.1352,0.672821
1.89726,0.607465,1.87682,0.634929,1.84484,0.668609,2.12009,0.648518,2.1403,0.683654
1.90722,0.59833,1.88678,0.624952,1.85463,0.662104,2.12522,0.660386,2.14541,0.693838
1.91718,0.58474,1.89675,0.606589,1.86445,0.648598,2.13034,0.661687,2.15051,-2.31502
1.92714,0.576289,1.90671,0.597486,1.87429,0.63113,2.13546,0.682531,2.1556,-6.1795
1.93711,0.562833,1.91668,0.583916,1.8839,0.618179,2.14057,0.683951,2.16068,-1.85768
1.94707,0.554945,1.92665,0.575484,1.89359,0.605569,2.14568,0.694148,2.16576,-0.425591
1.95704,0.541291,1.93662,0.56205,1.90334,0.588246,2.15079,-0.998962,2.17083,0.0437458
1.96701,0.527404,1.94659,0.554163,1.91312,0.58645,2.15589,-5.79893,2.17589,0.25942
