x,healthy,x,earlyOA
3.70201,14.4265,3.68569,14.4263
3.70701,14.4194,3.69069,14.429
3.71201,14.4124,3.69569,14.425
3.71701,14.4059,3.70069,14.4185
3.72201,14.4118,3.70569,14.4129
3.72701,14.4049,3.71069,14.4197
3.73201,14.3977,3.71569,14.4125
3.73701,14.3915,3.72069,14.4074
3.74201,14.3974,3.72569,14.4025
3.74701,14.3909,3.73069,14.4007
3.75201,14.3838,3.73569,14.3947
3.75701,14.3779,3.74069,14.3937
3.76228,14.3736,3.74569,14.3865
3.76753,14.3694,3.75096,14.3846
3.77277,14.3655,3.75621,14.3839
3.77798,14.3614,3.7614,14.3758
3.78318,14.3574,3.76659,14.3723
3.78836,14.3534,3.77177,14.3704
3.79352,14.3592,3.77693,14.3656
3.79863,14.353,3.78206,14.3615
3.804,14.3452,3.78719,14.3595
3.80938,14.3424,3.7923,14.3541
3.81465,14.3437,3.79741,14.3497
3.81988,14.3367,3.80251,14.3475
3.82567,14.3292,3.80761,14.3419
3.8314,14.3239,3.8127,14.3375
3.83706,14.3222,3.81778,14.335
3.84266,14.3171,3.82286,14.3292
3.84826,14.3093,3.82794,14.3248
3.85387,14.3044,3.83301,14.3232
3.85947,14.302,3.83808,14.3177
3.865,14.2936,3.84315,14.3132
3.87106,14.2876,3.84822,14.3107
3.87702,14.2833,3.85328,14.3048
3.88284,14.2728,3.85834,14.3004
3.88865,14.2657,3.8634,14.2981
3.8944,14.2574,3.86845,14.2918
3.90008,14.2481,3.8735,14.2859
3.9057,14.2367,3.87855,14.2809
3.91132,14.3923,3.88359,14.2719
3.91669,14.3108,3.88863,14.2631
3.92206,14.2663,3.89366,14.2568
3.9274,14.2417,3.89928,14.2472
3.9327,14.2217,3.90485,14.2356
3.938,14.2103,3.91037,14.2298
3.94327,14.2011,3.91582,14.221
3.94851,14.1944,3.92125,14.2122
3.95374,14.1888,3.92665,14.2106
3.95894,14.1844,3.93194,14.201
3.96413,14.1776,3.9372,14.1889
3.9693,14.1722,3.94156,14.1855
3.97445,14.1679,3.94656,14.1793
3.9796,14.1648,3.95156,14.1728
3.98473,14.1638,3.95656,14.1702
3.98984,14.1646,3.96156,14.166
3.99495,14.1662,3.96656,14.1632
4.00005,14.1661,3.97156,14.161
4.00514,14.168,3.97656,14.1596
4.01022,14.1679,3.98156,14.1599
4.0153,14.1702,3.98656,14.1627
4.02037,14.1779,3.99156,14.1645
4.02543,14.1903,3.99656,14.1672
4.03049,14.2027,4.00156,14.1681
4.03554,14.2182,4.00656,14.1668
4.04059,14.2352,4.01156,14.1719
4.04563,14.2533,4.01656,14.1805
4.05067,14.2736,4.02156,14.1919
4.0557,14.2957,4.02656,14.2057
4.06073,14.3192,4.03156,14.222
4.06576,14.3436,4.03656,14.2373
4.07078,14.3691,4.04156,14.256
4.0758,14.3949,4.04656,14.2766
4.08082,14.4224,4.05156,14.299
4.08584,14.4492,4.05656,14.3224
4.09086,14.4778,4.06156,14.3467
4.09587,14.509,4.06656,14.3719
4.10089,14.5435,4.07156,14.3972
4.1059,14.578,4.07656,14.4239
4.11091,14.612,4.08156,14.4498
4.11592,14.6471,4.08656,14.4777
4.12093,14.6813,4.09156,14.5076
4.12595,14.7184,4.09656,14.5393
4.13096,14.7583,4.10156,14.5723
4.13597,14.8001,4.10656,14.6061
4.14098,14.841,4.11183,14.6405
4.14599,14.8715,4.11708,14.6755
4.151,14.8977,4.12233,14.7107
4.15601,14.922,4.12758,14.7456
4.16102,14.9634,4.13282,14.7811
4.16603,15.0289,4.13807,14.8194
4.17104,15.0885,4.14332,14.8531
4.17605,15.1437,4.14856,14.88
4.18106,15.1952,4.15476,14.905
4.18607,15.2423,4.16116,14.9283
4.19108,15.287,4.16757,14.992
4.19609,15.3288,4.17397,15.0562
4.2011,15.3693,4.18037,15.1126
4.20611,15.4089,4.18678,15.1644
4.21111,15.4477,4.19318,15.2123
4.21612,15.4859,4.19958,15.2568
4.22113,15.5236,4.20599,15.2993
4.22614,15.5611,4.21239,15.3404
4.23115,15.5982,4.21879,15.3805
4.23616,15.6316,4.2252,15.42
4.24117,15.6648,4.2316,15.459
4.24618,15.6987,4.238,15.4976
4.25119,15.7334,4.24441,15.5361
4.2562,15.7685,4.25081,15.5745
4.2612,15.804,4.25721,15.6129
4.26621,15.8397,4.26361,15.6513
4.27122,15.8757,4.27002,15.6872
4.27623,15.9119,4.27642,15.7213
4.28123,15.9483,4.28282,15.7566
4.28624,15.9848,4.28916,15.7931
4.29124,16.0225,4.29544,15.8326
