x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0.79663,-0.0525052,-0.086242,-0.113682,0.838128,-0.0547156,-0.0904404,-0.119053,0.81411,-0.0552979,-0.0874123,-0.116317
0.80163,-0.0528534,-0.0867179,-0.114324,0.843128,-0.0550573,-0.0909099,-0.119697,0.81911,-0.0556571,-0.0878872,-0.116976
0.80663,-0.0532018,-0.0871986,-0.115,0.848128,-0.0553989,-0.0913789,-0.120341,0.82411,-0.0560166,-0.0883622,-0.117635
0.81163,-0.0535446,-0.0876608,-0.115619,0.853128,-0.0557411,-0.09185,-0.12099,0.82911,-0.0563756,-0.0888352,-0.118289
0.81663,-0.0538921,-0.0881361,-0.116278,0.858128,-0.0560822,-0.0923165,-0.12163,0.83411,-0.0567347,-0.0893082,-0.118947
0.82163,-0.0542394,-0.08861,-0.116932,0.863128,-0.0564237,-0.092784,-0.122272,0.83911,-0.0570936,-0.0897805,-0.119601
0.82663,-0.0545869,-0.089085,-0.117592,0.868128,-0.0567657,-0.0932533,-0.12292,0.84411,-0.0574526,-0.0902525,-0.120257
0.83163,-0.0549335,-0.089555,-0.118235,0.873128,-0.0571064,-0.0937179,-0.123554,0.84911,-0.0578114,-0.0907236,-0.12091
0.83663,-0.0552802,-0.0900266,-0.118886,0.878128,-0.0574477,-0.0941836,-0.124194,0.85411,-0.0581701,-0.091194,-0.121562
0.84163,-0.0556275,-0.0904986,-0.11954,0.883128,-0.0577882,-0.0946475,-0.124831,0.85911,-0.0585284,-0.0916633,-0.122212
0.84663,-0.055974,-0.0909682,-0.120187,0.888128,-0.0581284,-0.09511,-0.125466,0.86411,-0.0588877,-0.0921347,-0.122866
0.85163,-0.0563207,-0.0914379,-0.120836,0.893128,-0.0584691,-0.0955738,-0.126097,0.86911,-0.0592455,-0.0926015,-0.123513
0.85663,-0.0566674,-0.0919075,-0.121486,0.898128,-0.0588105,-0.0960394,-0.126742,0.87411,-0.0596038,-0.0930696,-0.124162
