x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.710797,1.29169,0.748128,1.3593,0.72411,1.31638,0.807325,2.15982,0.808036,2.16248,0.823852,2.18985
0.715797,1.30072,0.753128,1.3683,0.72911,1.32527,0.812327,2.16985,0.813038,2.17249,0.828853,2.19997
0.71663,1.30449,0.758128,1.37731,0.73411,1.33422,0.817328,2.17989,0.81804,2.1825,0.833853,2.21009
0.72163,1.31286,0.763128,1.38632,0.73911,1.34318,0.822329,2.18993,0.823041,2.19251,0.838854,2.22022
0.72663,1.32151,0.768128,1.39533,0.74411,1.35216,0.82733,2.19997,0.828042,2.20253,0.843855,2.23035
0.73163,1.33026,0.773128,1.40434,0.74911,1.36115,0.832331,2.21002,0.833043,2.21254,0.848855,2.24048
0.73663,1.33909,0.778128,1.41334,0.75411,1.37014,0.837332,2.22007,0.838044,2.22257,0.853856,2.25063
0.74163,1.34796,0.783128,1.42235,0.75911,1.37914,0.842333,2.23012,0.843045,2.23259,0.858856,2.26077
0.74663,1.35687,0.788128,1.43135,0.76411,1.38814,0.847333,2.24018,0.848046,2.24262,0.863856,2.27092
0.75163,1.3658,0.793128,1.44035,0.76911,1.39715,0.852334,2.25024,0.853046,2.25265,0.868857,2.28108
0.75663,1.37475,0.798128,1.44935,0.77411,1.40615,0.857334,2.2603,0.858047,2.26268,0.873857,2.29124
0.76163,1.38372,0.803128,1.45835,0.77911,1.41515,0.862335,2.27037,0.863047,2.27271,0.878857,2.3014
0.76663,1.39269,0.808128,1.46735,0.78411,1.42415,0.867335,2.28044,0.868047,2.28275,0.883857,2.31157
0.77163,1.40168,0.813128,1.47635,0.78911,1.43316,0.872336,2.29051,0.873048,2.29279,0.888857,2.32174
0.77663,1.41066,0.818128,1.48534,0.79411,1.44215,0.877336,2.30058,0.878048,2.30283,0.893857,2.33192
0.78163,1.41965,0.823128,1.49433,0.79911,1.45115,0.882336,2.31066,0.883048,2.31288,0.898858,2.3421
0.78663,1.42865,0.828128,1.50332,0.80411,1.46015,0.887336,2.32074,0.888048,2.32293,0.903858,2.35229
0.79163,1.43764,0.833128,1.51231,0.80911,1.46915,0.892337,2.33083,0.893049,2.33298,0.908858,2.36248
0.79663,1.44664,0.838128,1.5213,0.81411,1.47814,0.897337,2.34092,0.898049,2.34303,0.913858,2.37268
0.80163,1.45564,0.843128,1.53028,0.81911,1.48713,0.902337,2.35101,0.903049,2.35309,0.918858,2.38288
0.80663,1.46463,0.848128,1.53927,0.82411,1.49613,0.907337,2.36111,0.908049,2.36315,0.923858,2.39309
0.81163,1.47363,0.853128,1.54825,0.82911,1.50511,0.912337,2.37121,0.913049,2.37322,0.928858,2.4033
0.81663,1.48262,0.858128,1.55723,0.83411,1.5141,0.917337,2.38131,0.918049,2.38328,0.933858,2.41351
0.82163,1.49161,0.863128,1.56621,0.83911,1.52309,0.922337,2.39141,0.923049,2.39335,0.938858,2.42373
0.82663,1.5006,0.868128,1.57518,0.84411,1.53207,0.927338,2.40152,0.928049,2.40342,0.943858,2.43396
0.83163,1.50959,0.873128,1.58416,0.84911,1.54105,0.932338,2.41164,0.933049,2.4135,0.948858,2.44419
0.83663,1.51858,0.878128,1.59313,0.85411,1.55003,0.937338,2.42175,0.938049,2.42358,0.953858,2.45442
0.84163,1.52756,0.883128,1.6021,0.85911,1.559,0.942338,2.43187,0.943049,2.43366,0.958858,2.46466
0.84663,1.53654,0.888128,1.61107,0.86411,1.56798,0.947338,2.442,0.948049,2.44374,0.963858,2.4749
0.85163,1.54552,0.893128,1.62004,0.86911,1.57695,0.952338,2.45212,0.953049,2.45383,0.968858,2.48515
0.85663,1.5545,0.898128,1.62901,0.87411,1.58592,0.957338,2.46225,0.958049,2.46392,0.973858,2.4954
0.86163,1.56348,0.903128,1.63797,0.87911,1.59489,0.962338,2.47239,0.963049,2.47402,0.978858,2.50566
0.86663,1.57246,0.908128,1.64694,0.88411,1.60385,0.967338,2.48252,0.968049,2.48411,0.983858,2.51593
0.87163,1.58143,0.913128,1.6559,0.88911,1.61282,0.972338,2.49266,0.973049,2.49421,0.988858,2.52619
0.87663,1.5904,0.913962,1.65965,0.89411,1.62178,0.977338,2.50281,0.978049,2.50432,0.993858,2.53647
0.88163,1.59937,0.918962,1.66797,0.89911,1.63074,0.982338,2.51296,0.983049,2.51442,0.998858,2.54674
0.88663,1.60834,0.923962,1.67655,0.90411,1.6397,0.987338,2.52311,0.988049,2.52454,1.00386,2.60638
0.89163,1.61731,0.924795,1.68002,0.90911,1.64865,0.992338,2.53327,0.993049,2.53465,1.00983,2.69526
0.89663,1.62627,0.929795,1.68816,0.91411,1.6576,0.997338,2.54343,0.998049,2.54476,1.0166,2.79567
